question,text,question_clean
Due to the danger the Captian Every put the trading abiliy of East India Company what  Act would he never qualify for that other pirate were later offered?,Acts of Grace,duedangercaptianeveryputtradingabiliyeastindiacompanyactwouldneverqualifypiratelateroffered
What year was it ruled that Freemasonry was not a religion?,1875,yearruledfreemasonryreligion
What two guns were propped up against a hillside to get the muzzles pointed up?,French 75 mm and Russian 76.2 mm,twogunproppedhillsidegetmuzzlepointed
Where is Boston Common located?,near the Financial District and Beacon Hill,bostoncommonlocated
Carrier battle groups can launch what to intercept incoming threats?,fighter jets,carrierbattlegrouplaunchinterceptincomingthreat
In what city was Feynman born?,New York City,cityfeynmanborn
"How many cruisers were in Kurita's ""Center Force""?",12,manycruiserkuritascenterforce
How many national titles has the Tennessee Volunteers women's basketball team claimed?,8,manynationaltitletennesseevolunteerwomensbasketballteamclaimed
What is August's usual temperature?,66.1 °F,augustusualtemperature
What percentage of the student body of BYU has some proficiency in a second language?,Over three quarters,percentagestudentbodybyuproficiencysecondlanguage
Giovani da Verrazzano was an explorer from which country?,France,giovanidaverrazzanoexplorercountry
What sort of analysis did Eisenhower first experience with the Council on Foreign Relations?,economic,sortanalysiseisenhowerfirstexperiencecouncilforeignrelation
Where does the cephalic phase occur?,"at the sight, thought and smell of food, which stimulate the cerebral cortex",cephalicphaseoccur
How many people marched in Jerusalem?,"75,000",manypeoplemarchedjerusalem
In what year was Five Mile Point Lighthouse decommissioned upon construction of Southwest Ledge Lighthouse? ,1877,yearfivemilepointlighthousedecommissioneduponconstructionsouthwestledgelighthouse
"Along with replacement via inpainting, what procedure is used in infrared cleaning to remove the effect of scratches and dust?",scaling,alongreplacementviainpaintingprocedureusedinfraredcleaningremoveeffectscratchdust
Who were the largest single group of foreigners in 2010?,Italians,largestsinglegroupforeigner2010
What is the thinking of the cause  of the Antarctic Peninsula sea level.,atmospheric warming,thinkingcauseantarcticpeninsulasealevel
When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,more than $70 million,malloyreachedendtimepresidentmuchannualfundingresearchnotredame
"If someone struggles with insulin resistance, what kind of diabetes can develop as a result?",type 2,someonestruggleinsulinresistancekinddiabetesdevelopresult
Why did the people of the Netherlands rise up against Philip II?,"high taxes, persecution of Protestants by the government, and Philip's efforts to modernize and centralize the devolved-medieval government structures of the provinces",peoplenetherlandsrisephilipii
In which year did Poland join NATO?,1999,yearpolandjoinnato
Through what period did the second empire last?,1852 to 1870,periodsecondempirelast
Where was the Arab League summit held?,Khartoum,arableaguesummitheld
What goal did the ALI's study say could not be reconciled with the goal of individualized execution decisions?,systemic fairness for minorities,goalalistudysaycouldreconciledgoalindividualizedexecutiondecision
During what period was there a land bridge joining Europe and North America?,Oligocene,periodlandbridgejoiningeuropenorthamerica
"Who was the author of the book, ""Survivals of Roman Religion?""",William E. Phipps,authorbooksurvivalromanreligion
When did the federal war end?,1863,federalwarend
how many Anglo Maratha wars were there?,three,manyanglomarathawar
What does the AAPF believe the foundation for the class based argument is?,non-poor minorities do not experience racial and gender based discrimination,aapfbelievefoundationclassbasedargument
What political idealogy did Gaddafi not believe in?,factionalism,politicalidealogygaddafibelieve
Who did the throne of Hanover pass to instead of Queen Victoria?,Ernest Augustus,thronehanoverpasinsteadqueenvictoria
What is the name of the flag airline carrier in Switzerland?,Swiss International Air Lines,nameflagairlinecarrierswitzerland
What did the Honours act do?,outright sale of peerages and similar honours became a criminal act,honouract
By what percentage did the population of Southampton increase from 1996 to 2004?,4.9,percentagepopulationsouthamptonincrease19962004
Where did many soldiers from Hanover emigrate to?,Great Britain,manysoldierhanoveremigrate
What are vishapagorgs?,dragon-carpets,vishapagorgs
What view does the Jewish community take on God?,monotheistic,viewjewishcommunitytakegod
What kind of windows are in the chapter house?,4-light quatre-foiled windows,kindwindowchapterhouse
What percentage of people in Burma are related by linguistically lines to the Khmer. ,"2% of the population, are ethno-linguistically related to the Khmer",percentagepeopleburmarelatedlinguisticallylinekhmer
When did the Rubella vaccine come out?,1969,rubellavaccinecome
Which two candidates had surprising results despite Howard Dean being the strong front-runner?,"John Kerry, who earned 38% of the state's delegates and John Edwards",twocandidatesurprisingresultdespitehowarddeanstrongfrontrunner
When did the Australian government end their review on Norfolk Island?,December 2006,australiangovernmentendreviewnorfolkisland
What idea did Tanselle champion?,unconstrained authorial intention,ideatansellechampion
How does the government of Bern operate?,as a collegiate authority.,governmentbernoperate
It is one of only five areas to contain two teams of what sport?,Baseball,onefiveareacontaintwoteamsport
How many legitimate children did John have?,five,manylegitimatechildjohn
When did Hojo Shigetoki die?,1261,hojoshigetokidie
Who was responsible for acquiring BYU's first building?,Brigham Young,responsibleacquiringbyusfirstbuilding
When did the last Ice Age end in the British Isles?,"about 12,000 years ago",lasticeageendbritishisle
What is another name for New Classical Architecture?,"Neo-Historicism/Revivalism, Traditionalism",anothernamenewclassicalarchitecture
According to von Neumann what is the most important part of the problem of measure?,"change of group that makes a difference, not the change of space",accordingvonneumannimportantpartproblemmeasure
Who do engravers use diamond dust for?,to cut and polish other gems,engraverusediamonddust
What became more important than the copper value for Roman coins?,the shape and look,becameimportantcoppervalueromancoin
During Cyclone Pam which island had the most damage?,Nui,cyclonepamislanddamage
Which building has the highest market value in NYC?,Time Warner Center,buildinghighestmarketvaluenyc
What shape do mountain valleys have pre-glacation?,"characteristic ""V"" shape",shapemountainvalleypreglacation
What area was created by the parties involved in the Korean conflict?,Korean Demilitarized Zone (DMZ),areacreatedpartyinvolvedkoreanconflict
How many kindergarten classes were there?,89,manykindergartenclass
Where did the victory for Napoleon that secured his political power and increased his popularity in France occur?,Marengo,victorynapoleonsecuredpoliticalpowerincreasedpopularityfranceoccur
Farm laborers traded titles to shoen holders in exchange for what?,a share of the harvest,farmlaborertradedtitleshoenholderexchange
How many hotel rooms are located in NYC as of the end of 2014?,"90,000",manyhotelroomlocatednycend2014
What causes fermentation during the brewing process when making a beer?,yeast,causefermentationbrewingprocessmakingbeer
Has New Mexico had a majority of Spanish speaking natives.,The area of the former Gadsden Purchase contained a majority of Spanish-speakers until the 1940s,newmexicomajorityspanishspeakingnative
"Where is Magasin's ""flagship"" store located? ",Kongens Nytorv in Copenhagen,magasinsflagshipstorelocated
Who was one of the English aristocrats who supported the Lollard movement?,John of Gaunt,oneenglisharistocratsupportedlollardmovement
Who did the fortified city fall to in 1672 ,temporarily fell to the French invasion in 1672 (the Disaster Year); where the French invasion was only stopped west of Utrecht,fortifiedcityfall1672
What type of degree were Thailand's technical colleges historically not allowed to confer?,bachelor's degrees,typedegreethailandtechnicalcollegehistoricallyallowedconfer
"Along with R&B, pop and rock, what genre of music is represented on modern soft AC stations?",jazz,alongrbpoprockgenremusicrepresentedmodernsoftacstation
Who donates discard Western clothing to people in poor places?,charity organizations,donatesdiscardwesternclothingpeoplepoorplace
Who gets to decide how long stoppage time can go on for?,referee,getdecidelongstoppagetimego
Date Records released what major success in 1969?,"""Time of the Season"" by the Zombies",daterecordreleasedmajorsuccess1969
Which cant is often used by Irish Travellers?,Shelta,cantoftenusedirishtraveller
When was Plymouth Albion R.F.C. founded?,1875,plymouthalbionrfcfounded
What are the effects of giving the filament a positive temperature coefficient?,"helped stabilize the lamp's power consumption, temperature and light output against minor variations in supply voltage",effectgivingfilamentpositivetemperaturecoefficient
When did the Satellaview begin operation?,"April 23, 1995",satellaviewbeginoperation
What kinds of groups around the world can benefit from the Community Tool Box?,professionals and grassroots groups engaged in the work of community health and development,kindgrouparoundworldbenefitcommunitytoolbox
Who supposedly cancelled a trip to Beijing in protest?,India's Commerce Minister,supposedlycancelledtripbeijingprotest
"If the growth rings are wider, was the growth of the tree slower or more rapid?",more rapid,growthringwidergrowthtreeslowerrapid
What type of history period is often neglected in Indian histories?,social-economic,typehistoryperiodoftenneglectedindianhistory
"Which format, LaserDisc or DVD, gives the user the most control over playback?",LaserDisc,formatlaserdiscdvdgiveusercontrolplayback
When did human rights for Aboriginal people begin to improve?,The second half of the 20th century,humanrightaboriginalpeoplebeginimprove
What constituency did MP Michael Foot represent?,Plymouth Devonport,constituencympmichaelfootrepresent
Of what did Livy think the prodigies proved about Roman religion?,widespread failure,livythinkprodigyprovedromanreligion
What classical music magazine called the Boston Symphony orchestra one of the worlds best orchestras?,Gramophone,classicalmusicmagazinecalledbostonsymphonyorchestraoneworldbestorchestra
The capability of diffuse-porous woods to carry what substance is spread out in the growth ring?,water,capabilitydiffuseporouswoodcarrysubstancespreadgrowthring
What did Asif Jah I rename Deccan Suba to?,Hyderabad Deccan,asifjahrenamedeccansuba
Who did Edward Schnell work for?,the Aizu domain,edwardschnellwork
Interstate 526 begins and ends at what Highway?,U.S. Highway 17,interstate526beginendhighway
What firm won the Washington University national design contest?,Cope & Stewardson,firmwashingtonuniversitynationaldesigncontest
What does the genetic history of indigenous peoples of the Americas primarily focus on?,Human Y-chromosome DNA haplogroups,genetichistoryindigenouspeopleamericaprimarilyfocus
Why shouldn't zinc be given alone to those with several deficiencies?,zinc interacts with other micronutrients.,shouldntzincgivenaloneseveraldeficiency
What came to be valued over previous convolutions?,"new words, simplified syntax, and directness",camevaluedpreviousconvolution
What is the best for an recieving antenna for optimum reception?,match the polarization,bestrecievingantennaoptimumreception
The Planck constant initially was given what name?,"the ""quantum of action""",planckconstantinitiallygivenname
In what county was glass with uranium oxide content found?,Italy,countyglassuraniumoxidecontentfound
What was the October War?,surprise attack to regain part of the Sinai territory Israel had captured 6 years earlier,octoberwar
What did Victoria and her mother disagree on? ,the Kensington System,victoriamotherdisagree
From what language did Sanskrit originate?,Vedic Sanskrit,languagesanskritoriginate
For about how long does full immunity from the TB vaccine last?,ten years,longfullimmunitytbvaccinelast
What was Def Leppard's second album called?,High 'n' Dry,defleppardssecondalbumcalled
What was the name of the corporation that looked over common task?,Provinzialverband,namecorporationlookedcommontask
How old do kids need to be to play in the hockey club?,6,oldkidneedplayhockeyclub
The Pyx Chamber and chapter house are under guardianship of whom?,English Heritage,pyxchamberchapterhouseguardianship
Where did the name Switzer originate from?,the Alemannic Schwiizer,nameswitzeroriginate
"What act was responsible for the reorganization of local government on April 1, 1997?",1992 Local Government Act,actresponsiblereorganizationlocalgovernmentapril11997
Were utilities publically or privately owned in Menzie's economy?,publicly,utilitypublicallyprivatelyownedmenzieseconomy
How many games were secured to broadcast by BT Group?,38,manygamesecuredbroadcastbtgroup
By what dentury did Buddhism disappear form much of India?,eighth,denturybuddhismdisappearformmuchindia
How much was the threat of brokered deposit losses per month to IndyMac?,$500 million,muchthreatbrokereddepositlosspermonthindymac
What was the first James Bond film to be screened at IMAX theaters?,Skyfall,firstjamesbondfilmscreenedimaxtheater
In what year did the sealers start staying on South Georgia?,1786,yearsealerstartstayingsouthgeorgia
What was the record the Cubs finished with during the 2015 season?,97–65,recordcubfinished2015season
How can asymmetry of causation be observed?,in a non-arbitrary way,asymmetrycausationobserved
What is the most abundant zinc isotope?,64Zn,abundantzincisotope
What is an example of a critical habitat consideration that would apply to plant wildlife?,seed germination and dispersal needs,examplecriticalhabitatconsiderationwouldapplyplantwildlife
Who protested for their compatriots who were in Xinjiang?,Uyghurs living in Turkey,protestedcompatriotxinjiang
Who helped Bell investigate hydrofoils in 1908?,"Frederick W. ""Casey"" Baldwin",helpedbellinvestigatehydrofoil1908
What sometimes overrode samurais' loyalty to the daimyo?,loyalty to the Emperor was seen to have supremacy,sometimesoverrodesamurailoyaltydaimyo
In what way can an MCU be characterized?,the number of simultaneous calls it can handle,waymcucharacterized
How much money did taxpayers provide in government support to AIG during 2008 and early 2009?,over $180 billion,muchmoneytaxpayerprovidegovernmentsupportaig2008early2009
Why is the king allowed to appoint members of parliament?,to balance views in parliament,kingallowedappointmemberparliament
What new role did Randy Jackson assume during American Idols thirteenth season?,in-mentor,newrolerandyjacksonassumeamericanidolthirteenthseason
When did Bertrand Russell die?,1970,bertrandrusselldie
What is St. Christopher the patron saint of?,travelers,stchristopherpatronsaint
What enzymes are used to produce H2?,hydrogenases,enzymeusedproduceh2
Programming languages are translated into machine code by what?,a compiler or an assembler,programminglanguagetranslatedmachinecode
During what decade was the Lodhi colony built?,the 1940s,decadelodhicolonybuilt
What Mexican president attended Yale?,Ernesto Zedillo,mexicanpresidentattendedyale
What is the literacy rate in Kuwait?,over 97%,literacyratekuwait
At what battle was Mark Anthony defeated?,Battle of Actium,battlemarkanthonydefeated
What type of instrument was somewhat standardized int eh Baroque era?,double reeded,typeinstrumentsomewhatstandardizedintehbaroqueera
When did Whitehead delivery the Gifford lectures?,1927–28,whiteheaddeliverygiffordlecture
What is the primary use of Compact Disc + Graphics?,to display lyrics on a television set for karaoke,primaryusecompactdiscgraphic
What common plant has been used for studying the production of sugar?,Corn,commonplantusedstudyingproductionsugar
What is Boudhanath called in Nepali?,Bauddha or Bodhnāth,boudhanathcallednepali
When did the modern usage of prime minister come into being?,18th century,modernusageprimeministercome
How much of the short tons of bombs were dropped during the day?,10 percent,muchshorttonbombdroppedday
Who was over the new U.S. Strategic Air Forces in the Pacific command?,General Curtis LeMay,newustrategicairforcepacificcommand
When did his reign end?,1975,reignend
What structure did the British build in the North Sea?,Maunsell Forts,structurebritishbuildnorthsea
"when was mr. fingers' ""mystery of love"" released? ",1985,mrfingermysterylovereleased
What proportion of Tennessee counties recognize their Sheriff as their head law enforcement official?,94 of the 95,proportiontennesseecountyrecognizesheriffheadlawenforcementofficial
When was Russia made an official state name of the Russian Federation?,"April 21, 1992",russiamadeofficialstatenamerussianfederation
In what year did My Man Godfrey premiere?,1936,yearmangodfreypremiere
In modern day how much does New Haven depend on blue collar jobs?,over half (56%),moderndaymuchnewdependbluecollarjob
Debutantes wore the feather of which bird in their hair?,ostrich feathers,debutanteworefeatherbirdhair
Approximately how many French troops were kept in Iberia during the Peninsular War?,"300,000",approximatelymanyfrenchtroopkeptiberiapeninsularwar
What is the number of FIFA Club World  Cup trophies Barcelona has?,three,numberfifaclubworldcuptrophybarcelona
With what were Roman festivals organized in accordance?,seasonal,romanfestivalorganizedaccordance
What is the CAP?,Central Arizona Project Aqueduct,cap
What was the focus of aristocratic culture during this period?,great feasts,focusaristocraticcultureperiod
Continued infrastructure development results in more efficient what?,service delivery,continuedinfrastructuredevelopmentresultefficient
What was Scott Butera's job title prior to becoming AFL commissioner?,CEO,scottbuterasjobtitlepriorbecomingaflcommissioner
"What was the ""ugliest street in America"" in the 1970s?",Speedway Boulevard,uglieststreetamerica1970s
Do teens smoke marijuana or cigarettes more commonly?,marijuana,teensmokemarijuanacigarettecommonly
What line of high end electronics did Dell create that failed to compete with Apple products?,XPS,linehighendelectronicsdellcreatefailedcompeteappleproduct
What US Chief of Staff of the US Air Force also resigned in June of 2008?,General T. Michael Moseley,uchiefstaffuairforcealsoresignedjune2008
Has the government of Myanmar made life any easier for it's inhabitants ?,"has also relaxed reporting laws, but these remain highly restrictive.",governmentmyanmarmadelifeeasierinhabitant
What is the name Of the U.S. Patent office in Detroit?,Elijah J. McCoy Satellite Office,nameupatentofficedetroit
Who first recognized that hydrogen was a discrete substance?,Henry Cavendish,firstrecognizedhydrogendiscretesubstance
Who stated that Gaddafi was fond of children?,Mirella Bianco,statedgaddafifondchild
Who were the beneficiaries of his last public concert?,Polish refugees.,beneficiarylastpublicconcert
During the 19th century was there any advocates for the working children?,Lord Shaftesbury,19thcenturyadvocateworkingchild
What does OLPC stand for?,One Laptopschool Per child,olpcstand
What percent of the population is muslim?,98%,percentpopulationmuslim
What attractions are present at Hotel Yak & Yeti and the Hyatt Regency?,casinos,attractionpresenthotelyakyetihyattregency
What company was a sponsor of the American Idol tour in its ninth season? ,M&M's Pretzel Chocolate Candies,companysponsoramericanidoltourninthseason
What is the population of CAR approximately?,4.7 million,populationcarapproximately
"What is the name of the tennis complex, cited as one of the largest worldwide, located in New Haven?",Connecticut Tennis Center,nametenniscomplexcitedonelargestworldwidelocatednew
"What type of knowledge is not the only sphere of rational criticism, according to Popper's student W.W. Bartley III?",empirical,typeknowledgesphererationalcriticismaccordingpopperstudentwwbartleyiii
Where are you able to watch the new series when it is released?,Crunchyroll and Hulu,ablewatchnewseriesreleased
What was the name of the film's soundtrack called?,Time Stood Still,namefilmsoundtrackcalled
Under whom was the chapter house built?,Henry III,chapterhousebuilt
What vessel was found 5000 years ago?,"Zun, a kind of wine vessel",vesselfound5000yearago
What is propagated by the richer states as a means to avoid or reduce fiscal transfers?,Territorial reform,propagatedricherstatemeanavoidreducefiscaltransfer
What is it called when one symbiont lives within its partner?,endosymbiosis,calledonesymbiontlifewithinpartner
What kind of operation did this massing of aircraft produce?,non-combat airlifting,kindoperationmassingaircraftproduce
What kind of tourism attracts tourists yearly?,Water tourism,kindtourismattractstouristyearly
"Who wrote ""Russian language at the turn of the 20th-21st centuries""?",A. L. Arefyev,wroterussianlanguageturn20th21stcentury
What protobacterium notably bioremediates ground water uranium?,Geobacter,protobacteriumnotablybioremediatesgroundwateruranium
When did the United Kingdom colonized the Australian continent?,1788,unitedkingdomcolonizedaustraliancontinent
What were the results of those exemption petitions?,"one was granted, one was partially granted, one was denied and three were withdrawn",resultexemptionpetition
What heritage system do Southeast tribes use?,matrilineal,heritagesystemsoutheasttribeuse
Which season was Ace Young on?,season five,seasonaceyoung
Southampton's history of administrative independence dates back to the reign of which king?,King John,southamptonshistoryadministrativeindependencedatebackreignking
What are the three types of diarrhea?,"short duration watery diarrhea, short duration bloody diarrhea, and if it lasts for more than two weeks, persistent diarrhea",threetypediarrhea
The force of pushing in the cartridge did what to the device over eventual use?,bent the contact pins slightly,forcepushingcartridgedeviceeventualuse
How claims to have stolen the FA cup? ,80 year old career criminal Henry (Harry) James Burge claimed to have committed the theft,claimstolenfacup
What has the population of Tibet primarily consisted of?,ethnic Tibetans,populationtibetprimarilyconsisted
How many states are in Germany?,sixteen,manystategermany
How many professional sports leagues have their headquarters in New York?,five,manyprofessionalsportleagueheadquartersnewyork
At what age did Beyonce meet LaTavia Robertson?,age eight,agebeyoncemeetlataviarobertson
Which legislative bodies does this court sit in cases over?,"cases involving members of congress, senators",legislativebodycourtsitcase
When were the ten bells cast?,1971,tenbellcast
What language is used for formal purposes by business and government institutes of New Delhi?,English,languageusedformalpurposebusinessgovernmentinstitutenewdelhi
What percentage of households earned less than 977 per month?,14,percentagehouseholdearnedless977permonth
How many Jews lived in the Bronx in 2011?,"54,000",manyjewlivedbronx2011
When was paper tape popular?,until the 1980s,papertapepopular
What kind of wood are clarinet bodies made from?,african blackwood,kindwoodclarinetbodymade
What year saw the expulsion of the French Jewish community?,1306,yearsawexpulsionfrenchjewishcommunity
Most entities do not have what?,consciousness,entity
What happens outside the 1/1000 second to 1/second exposure range?,reciprocity failure,happensoutside11000second1secondexposurerange
What did Mao Zedong's reinvented PLA North East Frontier Force become?,People's Volunteer Army,maozedongsreinventedplanortheastfrontierforcebecome
What may accompany urination for amputees? ,phantom limb pain,mayaccompanyurinationamputee
Some foods that are okay for people to eat are what to dogs?,toxic,foodokaypeopleeatdog
"While Darwin wasn't sure about blending inherited traits, what was his opinion about utilizing inherited variation?",Darwin's concept of selection working on a population with a range of small variations was workable,darwinwasntsureblendinginheritedtraitopinionutilizinginheritedvariation
Which two studies where created by Alfred C. KInsey?,In the oft-cited and oft-criticized Sexual Behavior in the Human Male (1948) and Sexual Behavior in the Human Female (1953,twostudycreatedalfredckinsey
"What is likely to vanish forever, as a result of excessively loose credit conditions?",some forms of securitization,likelyvanishforeverresultexcessivelyloosecreditcondition
What can be added to steel to enhance is corrosion resistance?,chromium,addedsteelenhancecorrosionresistance
What type of life is more metabolically diverse than multicellular life?,microbial life,typelifemetabolicallydiversemulticellularlife
What league were most members of the Buffalo Sabres Alumni Hockey Team from?,NHL,leaguememberbuffalosabrealumnushockeyteam
What state has the oldest capital building used continuously since it was built?,Maryland,stateoldestcapitalbuildingusedcontinuouslysincebuilt
What type of geography is in Raleigh?,gently rolling hills that slope eastward toward the state's flat coastal plain.,typegeographyraleigh
The sections of the palm leafs were bound by what material?,twine,sectionpalmleafboundmaterial
What shift does blue light undergo in the pcLEDs method?,Stokes,shiftbluelightundergopcledsmethod
What type of surface is formed by the tip of a conductor?,reflective,typesurfaceformedtipconductor
In what year was Hopkins School founded in New Haven?,1660,yearhopkinsschoolfoundednew
Which Dell committee keeps the company from violating antitrust laws?,Antitrust Compliance Committee,dellcommitteekeepcompanyviolatingantitrustlaw
What is the maximum prison time for infringement under the new law?,five years in prison,maximumprisontimeinfringementnewlaw
What played a large role in King Edward the Confessor's canonisation?,The Confessor's shrine,playedlargerolekingedwardconfessorcanonisation
"Which bodybuilding title did Schwarzenegger call his ""ticket to America""?",Mr. Universe,bodybuildingtitleschwarzeneggercallticketamerica
What level of the football league does Plymouth Argyle F.C. operate in?,Football League Two,levelfootballleagueplymouthargylefcoperate
The Committee on the Peaceful Uses of Outer Space was created by what organization in 1959?,United Nations,committeepeacefulusouterspacecreatedorganization1959
What highway connecting Kathmandu to elsewhere in Nepal is currently being built?,BP,highwayconnectingkathmanduelsewherenepalcurrentlybuilt
What waterfront park hosts the Boat Show?,Mayflower Park,waterfrontparkhostboatshow
What was believed to be one of the schools greatest strengths by Pres. Jeffrey R. Holland?,its religious nature,believedoneschoolgreateststrengthpresjeffreyrholland
Is amnesia only seen in one form?,"There are many sorts of amnesia,",amnesiaseenoneform
"In what year did iTunes 7 launch, along with a plethora of additional games?",2006,yearitunes7launchalongplethoraadditionalgame
What is the type of freeway system that serves Houston?,hub-and-spoke,typefreewaysystemserfhouston
How much healthy fat in in the average serving of poultry?,two to three times as much polyunsaturated fat as most types of red meat,muchhealthyfataverageservingpoultry
When was the Behistun inscription written?,520 BC,behistuninscriptionwritten
What papers reported on this incident?,the Washington Post and the Washington Times,paperreportedincident
What is the former name of John Lewis Newcastle? ,Bainbridge,formernamejohnlewisnewcastle
What chain restaurants are present in Kathmandu?,Pizza Hut and KFC,chainrestaurantpresentkathmandu
How many al-Qaeda operatives hijacked planes on 9/11?,19,manyalqaedaoperativehijackedplane911
Buddism has what kind of parallels withother systems of thought?,moral and spiritual,buddismkindparallelwithothersystemthought
What is the name of the policy that the British adopted?,"""divide and rule""",namepolicybritishadopted
What did von Neumann prove with his model of expanding economy?,uniqueness of an equilibrium using his generalization of the Brouwer fixed-point theorem,vonneumannprovemodelexpandingeconomy
In what direction is the government of Burma ultimately attempting to go?,reforms to direct the country towards liberal democracy,directiongovernmentburmaultimatelyattemptinggo
How many polonaises were published after Chopin died?,nine,manypolonaisepublishedchopindied
What type of focus did universities have at the end of the early modern period?,mechanistic,typefocusuniversityendearlymodernperiod
What time are Chopin's polonaises written in?,triple time,timechopinpolonaisewritten
When did India establish full diplomatic ties with Israel?,1992,indiaestablishfulldiplomatictieisrael
What is the largest group of foreigners?,Russians,largestgroupforeigner
In how many stadiums had Premier League been played as of the 2015-16 season?,53,manystadiumpremierleagueplayed201516season
What must a prosecuter show after the basic elements of infringement?,that defendant willfully infringed,mustprosecutershowbasicelementinfringement
Who appears as Dante's guide through hell and purgatory in the Divine Comedy?,Virgil,appearsdanteguidehellpurgatorydivinecomedy
How many private institutes of technology are there in India?,16,manyprivateinstitutetechnologyindia
What Uncle was Victoria's favorite adviser?,Leopold,unclevictoriafavoriteadviser
How is Hogarth's analysis?,geopolitical,hogarthanalysis
The knee breeches men formerly wore to the palace were of what era's design?,18th-century design,kneebreechmenformerlyworepalaceeradesign
What score must an airman get on the US Air Force Fitness test to be able to opt out of one of the mandatory twice a year retests? ,90%,scoremustairmangetuairforcefitnesstestableoptonemandatorytwiceyearretests
What is the meaning of Near East in numerous establishments and publications?,Middle East,meaningneareastnumerousestablishmentpublication
"AAC, mp3PRO and MP2 are all members of the same technological family as which other lossy format?",MP3,aacmp3promp2membertechnologicalfamilylossyformat
Which timekeeping devices are the most accurate?,atomic clocks,timekeepingdeviceaccurate
How often does the NCAA allow college teams to go overseas?,one foreign tour every four years,oftenncaaallowcollegeteamgooverseas
Why did McKerrow alter his previous method of criticism?,"deviate more widely than the earliest print from the author's original manuscript.""",mckerrowalterpreviousmethodcriticism
What was he Standard Oil Group determined to be by the courts?,"an ""unreasonable"" monopoly",standardoilgroupdeterminedcourt
What did George Hudson spend time collecting when he wasn't working?,insects,georgehudsonspendtimecollectingwasntworking
The repression of what is also considered political corruption?,political opponents,repressionalsoconsideredpoliticalcorruption
What is Nico Frijda's nationality?,Dutch,nicofrijdasnationality
What weekly publication in New Haven is issued by Yale University? ,Yale Herald,weeklypublicationnewissuedyaleuniversity
How could radial leads be more correctly described?,as tandem,couldradialleadcorrectlydescribed
What was the first video to reach a million views?,a Nike advertisement,firstvideoreachmillionview
Why were carrier-launched aircraft more effective than naval guns?,They had higher range and precision,carrierlaunchedaircrafteffectivenavalgun
Who invented the pressurized balloon?,Auguste Piccard,inventedpressurizedballoon
Who are live events held by?,touring promotions,liveeventheld
What military forces usually integrate air defnce as a separate arm or part of artillery?,Western and Commonwealth militaries,militaryforceusuallyintegrateairdefnceseparatearmpartartillery
What was Whitehead's father's profession?,minister and schoolmaster of Chatham House Academy,whiteheadfatherprofession
Whose scholarship on the concept of proof in the Quran does Guessoum cite?,Ghaleb Hasan,whosescholarshipconceptproofquranguessoumcite
Who operates Logan Airport?,Massport,operatesloganairport
What is the meaning of Akkadia Apllu Enlil?,the son of Enlil,meaningakkadiaaplluenlil
What can help to indentify specific bacteria?,The use of selective media,helpindentifyspecificbacteria
What did Wright feel it wouldn't take an anthropologist to easily distinguish between of in groups?,individual,wrightfeelwouldnttakeanthropologisteasilydistinguishgroup
"Since 1993, which body has had power to enact measures?",Sodor and Man Diocesan Synod,since1993bodypowerenactmeasure
"Sergei Diaghilev obtained additional orchestrations for subsequent productions, using which title?",Les Sylphides.,sergeidiaghilevobtainedadditionalorchestrationsubsequentproductionusingtitle
How much did Chopin's funeral and monument cost?,"5,000 francs",muchchopinfuneralmonumentcost
What light can harm human eyes or skin?,UV light,lightharmhumaneyeskin
How many hectares is Southampton Common?,148,manyhectaresouthamptoncommon
Where was the Cafe Procope established in 1686?,Paris,cafeprocopeestablished1686
What date did Tennessee become one of the United States of America?,"June 1, 1796",datetennesseebecomeoneunitedstateamerica
What is the name of the nearest large commercial airport?,Princess Juliana International Airport,namenearestlargecommercialairport
What was the reaction of the French people to the deceptively crafted offense in the Ems Dispatch?,inflamed public opinion,reactionfrenchpeopledeceptivelycraftedoffenseemdispatch
What territory was King Hussein afraid Israel would obtain?,West Bank,territorykinghusseinafraidisraelwouldobtain
What does this allow riders to do at the top?,look out from the top of the structure,allowridertop
What day did he die?,3 June 1963,daydie
What is the term used for philosophies that consider the spiritual to be of paramount importance?,idealist,termusedphilosophyconsiderspiritualparamountimportance
Where did US Marines land?,Lebanon,umarineland
"What is the name of the man who said the protesting of the torch relay as a ""crisis""?",Jacques Rogge,namemansaidprotestingtorchrelaycrisis
Which act created the Upper Canada provinces?,The Constitutional Act of 1791,actcreateduppercanadaprovince
"In what country is ""The Welcome Inn"" frequently used as a name for pubs?",Scotland,countrywelcomeinnfrequentlyusednamepub
Which Jewish philosopher referred to Enlightenment as a process by which man was educated in the use of reason?,Moses Mendelssohn,jewishphilosopherreferredenlightenmentprocessmaneducatedusereason
Which two areas experienced criss-cross influences through noble and lower class participation?,coffeehouses and the Masonic lodges,twoareaexperiencedcrisscrossinfluencenoblelowerclassparticipation
What noted religious building was destroyed in the Great Fire?,Trinity Church,notedreligiousbuildingdestroyedgreatfire
How many planets were the Sumerians aware of?,five,manyplanetsumerianaware
Whitehead observes that life is deficient in what?,survival value,whiteheadobserveslifedeficient
Pomors are also known as what?,Northern Russians,pomorsalsoknown
What type of animal uses infrared heat to sense?,snakes,typeanimalusinfraredheatsense
Which market has the largest open air flowerbed in the US?,Eastern Market,marketlargestopenairflowerbedu
